'' 139 4585 4593 4595 4602 4603 4609 4625 4630 4632 4662 4664 4665 4689 4691 4692 4713 4714 4719 4769 4781 4785 4809 4810 4816 4824 4867 4882 4893 4903 4933 4941 4944 4951 4964 4988 5002 5003 5070 5109 5115 5117 5127 5132 5134 5139 5160 5162 5167 5171 5172 5176 5177 5193 5194 5195 5201 5206 5214 5226 5235 5244 5258 5268 5270 5271 5273 5283 5286 5288 5290 5318 5335 5345 5352 5363 5376 5377 5382 5388 5391 5392 5394 5408 5412 5453 5456 5458 5467 5471 5472 5473 5474 5505 5506 5507 5511 5523 5542 5554 5561 5567 5570 5586 5598 5655 5667 5690 5702 5706 5710 5711 5712 5717 5719 5727 5734 5746 5750 5752 5755 5761 5778 5779 5786 5787 5796 5800 5808 5827 5841 5850 5858 5868 5870 5879 5888 5895 5896 5908
'd 1 5888
'll 5 4951 5160 5288 5363 5376
'm 3 5345 5376 5561
'protection 1 4595
're 5 4625 4944 5467 5473 5808
's 309 4576 4577 4579 4584 4591 4592 4593 4599 4600 4602 4603 4604 4605 4609 4613 4615 4617 4621 4623 4625 4629 4630 4631 4633 4636 4637 4638 4640 4654 4659 4665 4666 4679 4687 4689 4690 4691 4692 4695 4700 4709 4711 4717 4719 4720 4735 4739 4740 4741 4742 4751 4768 4769 4772 4778 4781 4785 4787 4795 4796 4798 4806 4809 4816 4818 4822 4825 4833 4835 4867 4881 4884 4890 4893 4898 4905 4910 4933 4937 4941 4944 4951 4953 4962 4964 4974 4983 4987 4988 5009 5031 5053 5057 5070 5071 5077 5081 5091 5094 5109 5113 5115 5116 5117 5119 5125 5127 5132 5134 5139 5145 5146 5150 5152 5153 5156 5160 5162 5167 5168 5169 5171 5172 5176 5177 5178 5181 5183 5185 5189 5190 5192 5193 5194 5195 5196 5201 5203 5206 5207 5209 5210 5214 5216 5219 5220 5222 5226 5231 5234 5235 5236 5240 5244 5250 5255 5258 5266 5268 5270 5271 5273 5274 5277 5278 5279 5280 5285 5286 5288 5290 5291 5295 5299 5304 5318 5323 5328 5330 5331 5332 5333 5335 5338 5340 5345 5352 5360 5363 5371 5376 5377 5382 5389 5390 5391 5392 5394 5398 5411 5412 5421 5426 5435 5437 5441 5445 5447 5456 5458 5467 5471 5472 5473 5474 5481 5485 5507 5511 5517 5518 5531 5533 5537 5541 5542 5554 5558 5561 5570 5586 5597 5630 5644 5647 5660 5661 5667 5671 5684 5686 5689 5690 5692 5693 5702 5708 5710 5711 5712 5717 5724 5727 5734 5737 5739 5740 5746 5752 5755 5756 5757 5761 5762 5765 5767 5769 5778 5779 5780 5782 5785 5786 5787 5788 5789 5793 5798 5800 5805 5808 5810 5819 5826 5827 5833 5835 5836 5841 5842 5847 5848 5849 5850 5852 5858 5866 5870 5875 5879 5888 5895 5896 5900 5902 5908 5935 5945 5947
've 7 4625 5127 5160 5167 5273 5288 5888
-- 32 4599 4692 4809 4824 4898 4941 4988 5056 5070 5109 5139 5167 5169 5172 5176 5244 5268 5273 5290 5295 5318 5431 5491 5507 5598 5610 5635 5636 5648 5761 5808 5887
-franc 1 5318
-ivori 1 5192
-offici 1 5838
.. 1 5278
... 21 4625 4632 4662 4689 4713 4951 5162 5171 5172 5176 5286 5318 5382 5458 5467 5473 5554 5752 5755 5796 5808
.... 2 5177 5318
0-92 1 5467
0.1 14 4743 4744 4770 4771 4944 5178 5375 5389 5523 5768 5769 5805 5848 5886
0.2 8 4771 5238 5375 5389 5805 5830 5848 5849
0.226 2 5526 5564
0.28 1 5706
0.3 8 4641 4771 5061 5196 5245 5805 5838 5839
0.3-0.4 1 4944
0.35 1 5932
0.38 1 5278
0.4 9 4634 4771 4944 5061 5210 5805 5830 5845 5848
0.45 1 5207
0.5 14 4744 4770 4771 4787 4944 5178 5183 5196 5245 5280 5472 5805 5848 5886
0.51 1 5207
0.531 2 5526 5564
0.545 2 5526 5564
0.6 9 4743 4744 4771 4944 5768 5769 5783 5805 5848
0.6800 1 5189
0.6820 1 5779
0.6858/63 1 5779
0.6864/69 1 5779
0.6875 1 5779
0.6900 1 5189
0.693 2 5526 5564
0.7 11 4602 4771 4944 5196 5769 5803 5805 5807 5830 5848 5879
0.8 15 4629 4634 4660 4771 4944 5061 5178 5240 5769 5798 5803 5805 5807 5830 5879
0.809 2 5526 5564
0.81 1 5517
0.9 8 4744 4944 5215 5318 5375 5389 5447 5523
0/92 4 5363 5467 5611 5639
0500 1 5142
0800 1 5783
0930 1 5792
1 21 4631 4640 4671 4939 5053 5057 5139 5167 5203 5232 5256 5273 5277 5410 5662 5687 5694 5789 5792 5827 5850
1,000 8 4648 4708 5172 5366 5481 5491 5711 5793
1,009,731 1 5076
1,020,096 1 5029
1,025,000 2 5592 5654
1,025,961 1 5454
1,026,479 1 5894
1,029,921 1 4954
1,031,000 1 5013
1,040,700 1 5741
1,042,000 2 5922 5947
1,046,460 1 5495
1,053,000 1 5744
1,054,000 1 5741
1,055,000 1 5505
1,064,000 2 5582 5583
1,070,000 1 4803
1,079,000 1 5431
1,081,915 1 5078
1,087,000 1 4590
1,090 1 5812
1,091,000 1 5886
1,091,392 2 5617 5629
1,103,000 1 5339
1,104,000 1 5744
1,122,000 1 5658
1,135,000 1 5624
1,142 1 5215
1,151,330 1 4820
1,155,000 2 5095 5744
1,161,000 1 5327
1,162,000 1 4892
1,162,678 1 5076
1,175,000 1 5543
1,192,000 1 5291
1,200,000 1 4833
1,200,466 1 5495
1,205,000 1 4788
1,208,000 1 4794
1,212,000 1 5444
1,217,000 1 5105
1,234,000 1 4972
1,235,000 1 5886
1,239,000 1 5084
1,249,000 2 4911 4922
1,250,000 1 5377
1,252,000 1 4700
1,255,000 1 4700
1,262,200 1 5332
1,271,972 1 5501
1,273,000 1 4792
1,280,618 1 4999
1,281,887 1 4908
1,285,473 1 5461
1,286,000 1 4887
1,286,341 1 5538
1,289,000 1 5339
1,294,245 1 5575
1,295,000 1 5359
1,300 1 5209
1,311,000 1 5308
1,317,000 1 5886
1,319,000 1 5095
1,325,978 1 4954
1,334,000 1 5339
1,350,800 1 5912
1,368,591 1 5461
1,377,000 1 5624
1,381,000 1 5573
1,384,000 1 4745
1,387,000 1 5492
1,392,000 1 4732
1,394,000 1 5898
1,400 1 5812
1,407,000 1 5911
1,409,867 1 5029
1,410,000 1 5532
1,416,000 1 5595
1,420 1 5812
1,420,000 1 5444
1,420,500 1 5665
1,433,000 1 5407
1,436,000 1 5128
1,464,000 1 5545
1,465.00 1 5400
1,471,000 1 5321
1,474,000 1 5738
1,476,000 1 5494
1,485,600 1 5912
1,487,000 1 5680
1,492,000 1 5359
1,497,000 1 5624
1,499,234 1 5678
1,500 1 5283
1,502,032 1 5575
1,510,000 1 5475
1,518,700 1 4599
1,519,360 1 5078
1,520,000 1 5072
1,528,000 1 5573
1,549,000 1 4732
1,553,000 1 5013
1,566,936 1 4920
1,574,000 1 5314
1,596,000 2 5359 5366
1,600 1 5258
1,600,000 2 5359 5366
1,603,000 1 4745
1,612,624 1 5437
1,618,000 1 5723
1,619,000 1 5308
1,629,000 1 5679
1,646,000 1 5128
1,650,657 1 5461
1,657,000 1 5595
1,666,313 1 5051
1,667,000 1 5339
1,682,000 1 5407
1,683,000 1 5911
1,690,000 1 5886
1,705,000 1 5654
1,713,941 1 5678
1,714,000 1 5422
1,722,000 1 5573
1,725,000 1 5314
1,734,000 1 4806
1,737,000 1 5592
1,755,000 1 4794
1,760,000 1 5316
1,764,000 1 5886
1,766,000 1 5576
1,768,000 1 5898
1,775,000 1 5095
1,780,000 1 5048
1,804,000 1 5886
1,811,636 1 4999
1,815,000 1 5105
1,820 1 5812
1,826,000 1 5744
1,827,734 1 4937
1,841,000 2 4901 4930
1,842,000 1 5359
1,851,000 1 5886
1,858,000 1 5444
1,866,000 1 5494
1,867,100 1 5602
1,894,764 3 5003 5033 5610
1,896,000 1 5758
1,922,000 1 5128
1,928,800 1 5912
1,930,734 1 4937
1,933,562 1 5501
1,941,000 1 4972
1,956,214 1 5029
1,965,577 1 5367
1,974,000 1 4590
1,974,529 1 5029
1,983,000 1 5682
1-1/2 1 4991
1.0 7 4599 4602 4744 4771 4825 5196 5231
1.02 2 4745 5193
1.026 1 4822
1.03 1 5264
1.030 1 5003
1.05 5 4720 5055 5223 5232 5269
1.06 1 4820
1.07 2 5223 5445
1.08 2 4751 5055
1.09 3 4782 4797 4938
1.1 11 4629 5181 5196 5279 5416 5769 5787 5827 5839 5879 5932
1.10 6 4603 4666 4682 4720 5134 5360
1.11 1 5746
1.12 5 5360 5684 5692 5712 5751
1.13 4 4777 4810 4938 5545
1.144 1 5214
1.15 4 4692 5055 5269 5277
1.16 2 4691 5356
1.17 2 4581 5228
1.18 1 4630
1.182 1 4630
1.19 1 5678
1.2 9 4695 4741 4771 4845 4944 5214 5238 5793 5805
1.20 1 5602
1.21 1 4666
1.22 1 5055
1.225 1 5003
1.23 3 5764 5765 5779
1.24 2 5706 5767
1.25 6 4678 5193 5214 5576 5787 5888
1.26 3 4972 5684 5692
1.27 3 4922 5684 5692
1.28 1 5055
1.29 2 5189 5765
1.3 11 4592 4602 4678 4741 4744 4944 5061 5171 5235 5238 5586
1.31 3 4777 4797 4810
1.3185/90 1 5070
1.32 2 5214 5470
1.3218/23 1 5070
1.33 2 5658 5765
